ktp.source_key,ssn_min,ssn_q20,ssn_q40,ssn_median,ssn_q60,ssn_q80,ssn_max,works_min,works_q20,works_q40,works_median,works_q60,works_q80,works_max,cited_min,cited_q20,cited_q40,cited_median,cited_q60,cited_q80,cited_max,tukey_outlier_row_count,global_tukey_outlier_row_count,authorid_count,authorids_json,ssn_sum_hit_1pct_tukey_fragments_json,works_count_tukey_fragments_json,cited_by_count_tukey_fragments_json,tukey_priority_selected_fragment,max_works_rule_selected_fragment,flag,selected_fragments_same
"{""ktp.first_name"": ""Hao"", ""ktp.last_name"": ""Wang""}",1.0,3.0,8.0,10.0,14.0,34.0,544.0,0.0,17.0,31.0,41.0,55.0,121.0,52103.0,0.0,243.0,510.0,693.0,1017.0,2348.0,712861.0,44,28,291,"[""A5100322864"",""A5080102032"",""A5100446064"",""A5100446107"",""A5012720408"",""A5100446059"",""A5006383854"",""A5100446035"",""A5011888902"",""A5029278847"",""A5100446167"",""A5100446223"",""A5115589352"",""A5029800638"",""A5100777828"",""A5100667659"",""A5100446173"",""A5054325051"",""A5100446031"",""A5100446222"",""A5076479301"",""A5100446090"",""A5100769024"",""A5100604358"",""A5100446043"",""A5100646375"",""A5100767460"",""A5100700757"",""A5100446072"",""A5015014802"",""A5004347227"",""A5100446182"",""A5100446027"",""A5100446023"",""A5100726670"",""A5100726177"",""A5009431721"",""A5100662422"",""A5100663938"",""A5051308309"",""A5066678888"",""A5100658894"",""A5100663368"",""A5100446069"",""A5072657419"",""A5014887356"",""A5100350324"",""A5100446197"",""A5114377976"",""A5100688193"",""A5101746323"",""A5050916794"",""A5100446146"",""A5100655167"",""A5100709888"",""A5100334476"",""A5019848399"",""A5100704211"",""A5100446065"",""A5100446079"",""A5100617695"",""A5100761265"",""A5100446084"",""A5100775989"",""A5100446026"",""A5100446232"",""A5088544652"",""A5100729663"",""A5102708245"",""A5100653154"",""A5023506304"",""A5011133470"",""A5100446112"",""A5100769481"",""A5100630524"",""A5100746692"",""A5100763060"",""A5100446238"",""A5100446066"",""A5101897731"",""A5100446171"",""A5067287220"",""A5100726254"",""A5101533496"",""A5101941841"",""A5100446062"",""A5100622942"",""A5100625423"",""A5008098227"",""A5008137898"",""A5100599811"",""A5100751499"",""A5079978898"",""A5100334467"",""A5100446236"",""A5041773009"",""A5100649232"",""A5033581609"",""A5100389479"",""A5100446092"",""A5100699550"",""A5100446160"",""A5100446219"",""A5100329761"",""A5101788133"",""A5100446071"",""A5100446115"",""A5081021817"",""A5100446198"",""A5100668732"",""A5100446135"",""A5100720670"",""A5100642827"",""A5100663370"",""A5100446020"",""A5018863756"",""A5047398944"",""A5101601481"",""A5002972480"",""A5100709113"",""A5102016676"",""A5100446116"",""A5100446165"",""A5100601030"",""A5101854659"",""A5100769478"",""A5100446086"",""A5100618081"",""A5100625424"",""A5058368229"",""A5066944562"",""A5100446046"",""A5100649227"",""A5101880175"",""A5100446196"",""A5100743778"",""A5100446097"",""A5100642829"",""A5101740092"",""A5113097815"",""A5067493083"",""A5100446159"",""A5101746319"",""A5100446147"",""A5043372064"",""A5005261550"",""A5050002532"",""A5014860637"",""A5079347067"",""A5101627309"",""A5111287762"",""A5100446039"",""A5100709109"",""A5100777123"",""A5102820328"",""A5072756969"",""A5100704212"",""A5100622951"",""A5100779936"",""A5101554766"",""A5101841508"",""A5064757411"",""A5100446113"",""A5100769486"",""A5100769488"",""A5101496082"",""A5101833046"",""A5000545770"",""A5100446089"",""A5100389474"",""A5100446145"",""A5100653162"",""A5101833050"",""A5102017407"",""A5100329760"",""A5100446153"",""A5100655160"",""A5074485681"",""A5086527243"",""A5100446127"",""A5100446209"",""A5100446053"",""A5100622952"",""A5100650962"",""A5100758582"",""A5014401578"",""A5100729454"",""A5100663935"",""A5100726255"",""A5100751501"",""A5100777000"",""A5088531616"",""A5100446151"",""A5100446230"",""A5100779860"",""A5035284131"",""A5100446083"",""A5100446140"",""A5100743772"",""A5100446102"",""A5100625425"",""A5100646373"",""A5100709826"",""A5100726250"",""A5100758581"",""A5103235296"",""A5100446081"",""A5101594008"",""A5112080886"",""A5101786222"",""A5101979833"",""A5011231655"",""A5100446166"",""A5101417289"",""A5100329770"",""A5100446119"",""A5100704216"",""A5110563125"",""A5012023483"",""A5100618086"",""A5100630525"",""A5101627566"",""A5101690875"",""A5105068544"",""A5100446124"",""A5100446168"",""A5100599815"",""A5100649231"",""A5101690876"",""A5100446180"",""A5100630523"",""A5100751502"",""A5101633263"",""A5017136811"",""A5100655833"",""A5104668720"",""A5056694985"",""A5077007050"",""A5100446110"",""A5100446138"",""A5100639618"",""A5051067002"",""A5100389475"",""A5100446142"",""A5027545217"",""A5031727471"",""A5100446055"",""A5100446204"",""A5101856502"",""A5114778108"",""A5100599814"",""A5100726669"",""A5100758810"",""A5101788134"",""A5101627565"",""A5055899197"",""A5100446057"",""A5100446240"",""A5101810566"",""A5101979832"",""A5102917741"",""A5047146657"",""A5100668726"",""A5100709887"",""A5104104327"",""A5054329314"",""A5066724117"",""A5070452233"",""A5074693178"",""A5100446205"",""A5102017406"",""A5013589923"",""A5109671538"",""A5047673777"",""A5086819422"",""A5057652906"",""A5084861282"",""A5100729665"",""A5009103240"",""A5030188746"",""A5015705093"",""A5064787862"",""A5100604363"",""A5102966318"",""A5034878116"",""A5040154266"",""A5064826982"",""A5098970430"",""A5102713587"",""A5103162173"",""A5115695341""]","[""A5100322864"",""A5080102032"",""A5100446064"",""A5100446107"",""A5100446059"",""A5006383854"",""A5100446035"",""A5011888902"",""A5029278847"",""A5100446167"",""A5100777828"",""A5100667659"",""A5100446173"",""A5054325051"",""A5100446031"",""A5076479301"",""A5100769024"",""A5100604358"",""A5100446043"",""A5004347227"",""A5100446182"",""A5009431721"",""A5100662422"",""A5100663938"",""A5100663368"",""A5100446197"",""A5114377976"",""A5100446084"",""A5100446232"",""A5011133470"",""A5100769486""]","[""A5100322864"",""A5080102032"",""A5100446064"",""A5100446107"",""A5012720408"",""A5100446059"",""A5006383854"",""A5100446035"",""A5011888902"",""A5029278847"",""A5100446167"",""A5100446223"",""A5115589352"",""A5029800638"",""A5100777828"",""A5100667659"",""A5100446173"",""A5054325051"",""A5100446031"",""A5100446222"",""A5076479301"",""A5100446090"",""A5100769024"",""A5100604358"",""A5100446043"",""A5100646375"",""A5100767460"",""A5100700757""]","[""A5100322864"",""A5080102032"",""A5100446064"",""A5100446107"",""A5100446059"",""A5006383854"",""A5100446035"",""A5011888902"",""A5029278847"",""A5100446167"",""A5100446223"",""A5029800638"",""A5100777828"",""A5100667659"",""A5100446173"",""A5054325051"",""A5100446031"",""A5100446222"",""A5076479301"",""A5100446090"",""A5100769024"",""A5100604358"",""A5100446043"",""A5100646375"",""A5100446182"",""A5009431721"",""A5100663938"",""A5100663368"",""A5072657419"",""A5050916794"",""A5100446146"",""A5011133470"",""A5100751499""]",,A5100322864,true,false
"{""ktp.first_name"": ""He"", ""ktp.last_name"": ""Yan""}",1.0,2.8000000000000007,7.0,10.0,12.0,26.0,2074.0,5.0,38.8,77.4,84.5,110.39999999999999,152.40000000000003,458.0,16.0,367.20000000000005,759.8,921.0,1530.9999999999998,3073.000000000001,49258.0,4,2,40,"[""A5058196030"",""A5100755001"",""A5087287145"",""A5061934100"",""A5049215942"",""A5085186302"",""A5100416439"",""A5057054017"",""A5035921680"",""A5100702224"",""A5002778560"",""A5101436387"",""A5087153019"",""A5060106897"",""A5083633867"",""A5086967620"",""A5100457897"",""A5054440760"",""A5101469422"",""A5085550373"",""A5100457894"",""A5101788690"",""A5072765950"",""A5109299913"",""A5101436388"",""A5101970981"",""A5102791255"",""A5086460860"",""A5024374027"",""A5012016834"",""A5065550114"",""A5027905668"",""A5101353578"",""A5100755000"",""A5101928719"",""A5100651586"",""A5102315585"",""A5100702225"",""A5103959962"",""A5102204608""]","[""A5058196030"",""A5100755001"",""A5057054017"",""A5100702224""]","[""A5058196030""]","[""A5058196030"",""A5057054017"",""A5100702224""]",A5058196030,A5058196030,true,true
"{""ktp.first_name"": ""Henrik"", ""ktp.last_name"": ""Zetterberg""}",5.0,187.4,369.8,461.0,1316.3999999999999,3027.2000000000007,4738.0,19.0,155.4,291.8,360.0,966.5999999999998,2179.8,3393.0,148.0,2324.8,4501.6,5590.0,31837.199999999993,84331.6,136826.0,0,2,3,"[""A5079766290"",""A5111750310"",""A5111354912""]",[],[],[],,,true,true
"{""ktp.first_name"": ""Hsien-Da"", ""ktp.last_name"": ""Huang""}",2.0,4.4,6.800000000000001,8.0,45.19999999999999,119.60000000000002,194.0,8.0,9.600000000000001,11.200000000000001,12.0,66.79999999999998,176.40000000000003,286.0,668.0,846.8,1025.6,1115.0,4994.199999999999,12752.600000000002,20511.0,0,1,3,"[""A5040277769"",""A5109351551"",""A5111820971""]",[],[],[],,,true,true
"{""ktp.first_name"": ""Huaiyu Y"", ""ktp.last_name"": ""Mi""}",,,,,,,,,,,,,,,,,,,,,,0,0,0,[],[],[],[],,,true,true
"{""ktp.first_name"": ""Isabelle"", ""ktp.last_name"": ""Soerjomataram""}",8.0,103.60000000000001,199.20000000000002,247.0,294.79999999999995,390.40000000000003,486.0,16.0,79.4,142.8,174.5,206.2,269.6,333.0,235.0,47264.8,94294.6,117809.5,141324.4,188354.2,235384.0,0,1,2,"[""A5057880586"",""A5063894502""]",[],[],[],,,true,true
"{""ktp.first_name"": ""Ivo"", ""ktp.last_name"": ""Labbe""}",36.0,89.60000000000001,143.20000000000002,170.0,196.8,250.4,304.0,47.0,125.00000000000001,203.0,242.0,281.0,359.0,437.0,3638.0,8453.800000000001,13269.6,15677.5,18085.4,22901.2,27717.0,0,1,2,"[""A5040520737"",""A5107896975""]",[],[],[],,,true,true
"{""ktp.first_name"": ""Jaakko"", ""ktp.last_name"": ""Tuomilehto""}",3.0,6.0,27.0,50.0,55.0,295.0,1453.0,1.0,3.0,16.0,92.0,140.0,227.0,1043.0,308.0,1492.0,4086.0,8130.0,9388.0,27652.0,150177.0,2,6,11,"[""A5101494461"",""A5101494462"",""A5101494463"",""A5013559526"",""A5110383975"",""A5109158757"",""A5108145339"",""A5107884099"",""A5108107455"",""A5107430826"",""A5110717062""]","[""A5101494461"",""A5101494462""]","[""A5101494461"",""A5101494462""]","[""A5101494461"",""A5101494462""]",,A5101494461,true,false
"{""ktp.first_name"": ""Jacomine "", ""ktp.last_name"": ""Krijnse-Locker""}",,,,,,,,,,,,,,,,,,,,,,0,0,0,[],[],[],[],,,true,true
"{""ktp.first_name"": ""Jay D"", ""ktp.last_name"": ""Keasling""}",,,,,,,,,,,,,,,,,,,,,,0,0,0,[],[],[],[],,,true,true
"{""ktp.first_name"": ""Jeffrey A."", ""ktp.last_name"": ""Lieberman""}",9.0,17.0,25.000000000000004,29.0,122.59999999999998,309.80000000000007,497.0,83.0,88.60000000000001,94.2,97.0,259.4,584.2,909.0,3148.0,4617.6,6087.2,6822.0,23902.999999999993,58065.000000000015,92227.0,0,1,3,"[""A5075093461"",""A5113596531"",""A5111744087""]",[],[],[],,,true,true
"{""ktp.first_name"": ""Jiaguo"", ""ktp.last_name"": ""Yu""}",34.0,125.60000000000001,217.20000000000002,263.0,878.5999999999998,2109.8,3341.0,6.0,21.6,37.2,45.0,236.99999999999994,621.0000000000001,1005.0,1713.0,4765.400000000001,7817.800000000001,9344.0,42182.79999999999,107860.40000000002,173538.0,0,2,3,"[""A5100423139"",""A5110561519"",""A5101814721""]",[],[],[],,,true,true
"{""ktp.first_name"": ""Jingbo"", ""ktp.last_name"": ""Li""}",5.0,14.4,26.6,30.5,34.6,108.20000000000006,522.0,7.0,27.000000000000004,53.0,56.0,83.80000000000003,363.20000000000016,642.0,173.0,298.6,452.6,951.5,2085.8000000000006,7527.600000000003,32802.0,2,2,8,"[""A5100690872"",""A5100690874"",""A5100690866"",""A5100690867"",""A5100690870"",""A5100690869"",""A5079496360"",""A5068810065""]","[""A5100690872"",""A5100690874""]","[""A5100690872""]","[""A5100690872""]",A5100690872,A5100690872,true,true
"{""ktp.first_name"": ""John"", ""ktp.last_name"": ""Haanen""}",10.0,127.4,244.8,303.5,362.2,479.6,597.0,22.0,194.8,367.6,454.0,540.4,713.2,886.0,296.0,17184.2,34072.4,42516.5,50960.6,67848.8,84737.0,0,1,2,"[""A5017136846"",""A5041502580""]",[],[],[],,,true,true
"{""ktp.first_name"": ""Kenneth G"", ""ktp.last_name"": ""Cassman""}",,,,,,,,,,,,,,,,,,,,,,0,0,0,[],[],[],[],,,true,true
"{""ktp.first_name"": ""Kinam"", ""ktp.last_name"": ""Park""}",4.0,5.6,7.2,8.0,65.19999999999999,179.60000000000002,294.0,4.0,19.2,34.4,42.0,176.59999999999997,445.80000000000007,715.0,409.0,517.4,625.8,680.0,7817.799999999998,22093.4,36369.0,0,1,3,"[""A5056562604"",""A5103061977"",""A5110094776""]",[],[],[],,,true,true
"{""ktp.first_name"": ""Kuishuang"", ""ktp.last_name"": ""Feng""}",145.0,251.8,358.6,412.0,465.4,572.2,679.0,277.0,286.0,295.0,299.5,304.0,313.0,322.0,12410.0,13454.0,14498.0,15020.0,15542.0,16586.0,17630.0,0,2,2,"[""A5076843232"",""A5049493168""]",[],[],[],,,true,true
"{""ktp.first_name"": ""Ling"", ""ktp.last_name"": ""Shao""}",1.0,1.0,13.0,15.5,18.0,25.0,1180.0,4.0,19.0,36.0,49.5,63.0,88.0,1082.0,85.0,272.0,597.0,1146.0,1695.0,2707.0,56275.0,1,1,6,"[""A5082634513"",""A5026123578"",""A5100527090"",""A5101033410"",""A5100939136"",""A5072207362""]","[""A5082634513""]","[""A5082634513""]","[""A5082634513""]",A5082634513,A5082634513,false,true
"{""ktp.first_name"": ""Luis"", ""ktp.last_name"": ""Martinez""}",1.0,2.6000000000000005,5.200000000000001,7.0,9.8,37.60000000000003,653.0,2.0,22.200000000000003,36.2,60.0,88.80000000000003,130.80000000000004,812.0,74.0,304.2,722.0000000000002,1255.0,1875.8000000000002,3370.800000000002,25950.0,7,4,29,"[""A5009797333"",""A5010037206"",""A5065326739"",""A5055999164"",""A5023368508"",""A5084637573"",""A5008667687"",""A5013018406"",""A5063571736"",""A5027803815"",""A5071055666"",""A5053009982"",""A5101937454"",""A5109383240"",""A5090061455"",""A5112087606"",""A5101864004"",""A5029383953"",""A5001522848"",""A5068019375"",""A5077747601"",""A5037606710"",""A5001941220"",""A5100657051"",""A5067898915"",""A5100784353"",""A5109556586"",""A5012738123"",""A5067095582""]","[""A5009797333"",""A5010037206"",""A5065326739"",""A5027803815"",""A5071055666""]","[""A5009797333"",""A5010037206"",""A5065326739"",""A5055999164"",""A5023368508""]","[""A5009797333"",""A5010037206"",""A5065326739""]",,A5009797333,true,false
"{""ktp.first_name"": ""M. Arfan"", ""ktp.last_name"": ""Ikram""}",1.0,25.000000000000004,49.00000000000001,61.0,271.3999999999999,692.2,1113.0,8.0,8.8,9.6,10.0,355.5999999999999,1046.8000000000002,1738.0,154.0,4842.8,9531.6,11876.0,30012.799999999996,66286.40000000001,102560.0,0,2,3,"[""A5036303967"",""A5108126798"",""A5106764950""]",[],[],[],,,true,true
"{""ktp.first_name"": ""Mark J"", ""ktp.last_name"": ""Caulfield""}",,,,,,,,,,,,,,,,,,,,,,0,0,0,[],[],[],[],,,true,true
"{""ktp.first_name"": ""Mark S."", ""ktp.last_name"": ""Sulkowski""}",12.0,81.39999999999999,150.79999999999998,185.5,220.20000000000002,289.59999999999997,359.0,24.0,139.2,254.4,312.0,369.6,484.8,600.0,1494.0,10080.400000000001,18666.800000000003,22960.0,27253.199999999997,35839.600000000006,44426.0,0,1,2,"[""A5054201295"",""A5104052360""]",[],[],[],,,true,true
"{""ktp.first_name"": ""Mark"", ""ktp.last_name"": ""Woodward""}",2.0,4.4,8.600000000000001,12.5,16.4,1014.6000000000008,2508.0,3.0,30.000000000000004,58.00000000000001,73.0,87.99999999999999,732.4000000000005,1684.0,660.0,1733.4000000000003,2571.0,2754.0,2937.0,58575.40000000005,141850.0,1,1,4,"[""A5037890696"",""A5109002604"",""A5101594151"",""A5108107450""]","[""A5037890696""]","[""A5037890696""]","[""A5037890696""]",A5037890696,A5037890696,false,true
"{""ktp.first_name"": ""Matthew K"", ""ktp.last_name"": ""Nock""}",,,,,,,,,,,,,,,,,,,,,,0,0,0,[],[],[],[],,,true,true
"{""ktp.first_name"": ""Mercouri G."", ""ktp.last_name"": ""Kanatzidis""}",38.0,417.2,796.4,986.0,1175.6,1554.8,1934.0,151.0,703.8,1256.6,1533.0,1809.4,2362.2,2915.0,3745.0,36044.6,68344.2,84494.0,100643.8,132943.4,165243.0,0,1,2,"[""A5035758112"",""A5113217987""]",[],[],[],,,true,true
"{""ktp.first_name"": ""Mercouri"", ""ktp.last_name"": ""Kanatzidis""}",38.0,417.2,796.4,986.0,1175.6,1554.8,1934.0,151.0,703.8,1256.6,1533.0,1809.4,2362.2,2915.0,3745.0,36044.6,68344.2,84494.0,100643.8,132943.4,165243.0,0,1,2,"[""A5035758112"",""A5113217987""]",[],[],[],,,true,true
"{""ktp.first_name"": ""Michael A."", ""ktp.last_name"": ""Matthay""}",5.0,186.4,367.8,458.5,549.1999999999999,730.6,912.0,46.0,293.20000000000005,540.4000000000001,664.0,787.5999999999999,1034.8000000000002,1282.0,1931.0,26287.2,50643.4,62821.5,74999.59999999999,99355.8,123712.0,0,1,2,"[""A5052576862"",""A5113560954""]",[],[],[],,,true,true
"{""ktp.first_name"": ""Michael J."", ""ktp.last_name"": ""Mack""}",11.0,265.8,520.6,648.0,775.4,1030.2,1285.0,77.0,340.8,604.6,736.5,868.4,1132.2,1396.0,1453.0,28094.4,54735.8,68056.5,81377.2,108018.6,134660.0,0,1,2,"[""A5019062163"",""A5114210721""]",[],[],[],,,true,true
"{""ktp.first_name"": ""Mingchuan"", ""ktp.last_name"": ""Luo""}",8.0,16.0,24.0,28.0,96.79999999999998,234.40000000000003,372.0,4.0,10.8,17.6,21.0,39.599999999999994,76.8,114.0,22.0,462.8,903.6,1124.0,3866.7999999999997,9352.400000000001,14838.0,0,1,3,"[""A5001987994"",""A5102717385"",""A5101371461""]",[],[],[],,,true,true
"{""ktp.first_name"": ""Muhammad"", ""ktp.last_name"": ""Bilal""}",1.0,3.4000000000000004,7.4,8.0,12.799999999999994,55.6,720.0,2.0,13.4,32.8,48.5,60.99999999999999,112.6,1515.0,24.0,168.6,396.0,501.0,713.9999999999999,2506.0,43807.0,6,5,32,"[""A5100439310"",""A5065527380"",""A5043302955"",""A5059100221"",""A5064138855"",""A5025123510"",""A5036774258"",""A5012666416"",""A5101905811"",""A5089597978"",""A5038539552"",""A5101940975"",""A5039366334"",""A5011952660"",""A5100661270"",""A5108106745"",""A5048151597"",""A5068196582"",""A5029659886"",""A5083282963"",""A5100710764"",""A5101475144"",""A5101727149"",""A5100661271"",""A5101610134"",""A5101757315"",""A5028569460"",""A5064348578"",""A5100439318"",""A5031643080"",""A5111005051"",""A5100685608""]","[""A5100439310"",""A5043302955"",""A5059100221"",""A5025123510"",""A5101940975""]","[""A5100439310"",""A5065527380"",""A5043302955""]","[""A5100439310"",""A5101940975""]",,A5100439310,true,false
"{""ktp.first_name"": ""Nathaniel L"", ""ktp.last_name"": ""Rosi""}",,,,,,,,,,,,,,,,,,,,,,0,0,0,[],[],[],[],,,true,true
"{""ktp.first_name"": ""Padmanee"", ""ktp.last_name"": ""Sharma""}",5.0,94.0,183.0,227.5,272.0,361.0,450.0,4.0,187.2,370.4,462.0,553.6,736.8,920.0,1866.0,13783.2,25700.4,31659.0,37617.6,49534.8,61452.0,0,1,2,"[""A5071033599"",""A5108107844""]",[],[],[],,,true,true
